AUDITOR ID,OUTLET ID
ma80007,87001-DUT-SANGKANHURIP-KATAPANG-BANDUNG
ma80007,87004-CEZ-MAGAHAYU SELATAN-MARGAHAYU-BANDUNG
ma80007,87005-RN -CIBODAS-PASIRJAMBU-BANDUNG
ma80007,87006-WID-CIWIDEY-CIWIDEY-BANDUNG
ma80007,87007-DOD-CIBODAS-PASIRJAMBU-BANDUNG
ma80007,87008-YH -GAJAH MEKAR-KUTAWARINGIN-BANDUNG
ma80007,87009-RUR-CILAME-KUTAWARINGIN-BANDUNG
ma80007,87010-RC -MEKARRAHAYU-MARGAASIH-BANDUNG
ma80007,87002-AGI-CANGKUANG-CANGKUANG-BANDUNG
ma80007,87011-SMT-GUNUNGLEUTIK-CIPARAY-BANDUNG
ma80007,87012-PAS-SERANGMEKAR-CIPARAY-BANDUNG
ma80007,87013-JP -BOJONGSOANG-BOJONGSOANG-BANDUNG
ma80007,87014-ME -KAMASAN-BANJARAN-BANDUNG
ma80007,87015-JAF-BOJONGKUNCI-PAMEUNGPEUK-BANDUNG
ma80007,87003-KRE-RANCAMANYAR-BALEENDAH-BANDUNG
ma80003,83001-MOR-JAYAGIRI-LEMBANG-BANDUNG BARAT (LEMBANG)
ma80003,83002-RAH-CIBOGO-LEMBANG-BANDUNG BARAT (LEMBANG)
ma80003,83003-BAL-KAYUAMBON-LEMBANG-BANDUNG BARAT (LEMBANG)
ma80003,83004-DAH-SUKAJAYA-LEMBANG-BANDUNG BARAT (LEMBANG)
ma80003,83005-DG -MEKARWANGI-LEMBANG-BANDUNG BARAT (LEMBANG)
ma80003,83006-NUG-LEMBANG-LEMBANG-BANDUNG BARAT (LEMBANG)
ma80003,83007-INT-GUDANGKAHURIPAN-LEMBANG-BANDUNG BARAT (LEMBANG)
ma80003,83008-NHO-SUKAJAYA-LEMBANG-BANDUNG BARAT (LEMBANG)
ma80003,83009-PAN-CIKAHURIPAN-LEMBANG-BANDUNG BARAT (LEMBANG)
ma80003,83010-AZZ-KAYUAMBON-LEMBANG-BANDUNG BARAT (LEMBANG)
ma20020,22201-NAY-KAMAL-KAMAL-BANGKALAN
ma20020,22202-SUF-KAMAL-KAMAL-BANGKALAN
ma20020,22203-SAK-KRATON-BANGKALAN-BANGKALAN
ma20020,22204-RIR-PEJAGAN-BANGKALAN-BANGKALAN
ma20020,22205-ENG-KRATON-BANGKALAN-BANGKALAN
ma20020,22206-BAH-BANYUAJUH-KAMAL-BANGKALAN
ma20020,22207-RAJ-BANYUAJUH-KAMAL-BANGKALAN
ma20020,22209-KEY-PETRAH-TANAH MERAH-BANGKALAN
ma20020,22208-KUR-TANAH MERAH LAOK-TANAH MERAH-BANGKALAN
ma20020,22210-SR -PANGERANAN-BANGKALAN-BANGKALAN
ma20020,22211-RAK-PESANGGRAHAN-KWANYAR-BANGKALAN
ma20020,22212-SHO-PESANGGRAHAN-KWANYAR-BANGKALAN
ma20020,22213-LIG-KETETANG-KWANYAR-BANGKALAN
ma20020,22214-KWA-KETETANG-KWANYAR-BANGKALAN
ma20020,22215-DIN-PESANGGRAHAN-KWANYAR-BANGKALAN
ma20010,22216-KAN-TUNJUNG-BURNEH-BANGKALAN
ma20010,22217-KAN-TUNJUNG-BURNEH-BANGKALAN
ma20010,22218-FIA-BURNEH-BURNEH-BANGKALAN
ma20010,22219-IMO-LABANG-LABANG-BANGKALAN
ma20010,22220-ARI-SUKOLILO BARAT-LABANG-BANGKALAN
ma20010,22221-TOF-SUKOLILO BARAT-LABANG-BANGKALAN
ma20010,22222-N J-PAMORAH-TRAGAH-BANGKALAN
ma20010,22223-CAH-PAMORAH-TRAGAH-BANGKALAN
ma20010,22224-REJ-PAMORAH-TRAGAH-BANGKALAN
ma20010,22225-AND-TENGKET-AROSBAYA-BANGKALAN
ma20010,22226-IND-AROSBAYA-AROSBAYA-BANGKALAN
ma20010,22227-ARO-AROSBAYA-AROSBAYA-BANGKALAN
ma20010,22228-RIZ-KELEYAN-SOCAH-BANGKALAN
ma20010,22229-SUN-SOCAH-SOCAH-BANGKALAN
ma20010,22230-BAK-SOCAH-SOCAH-BANGKALAN
ma10016,11701-NAR-NGESTIHARJO-KASIHAN-BANTUL
ma10016,11702-HTC-SIDOMULYO-BAMBANGLIPURO-BANTUL
ma10016,11703-CHO-PANGGUNGHARJO-SEWON-BANTUL
ma10016,11704-PIN-GUWOSARI-PAJANGAN-BANTUL
ma10016,11705-CLA-BANGUNTAPAN-BANGUNTAPAN-BANTUL
ma10016,11706-AMC-PARANGTRITIS-KRETEK-BANTUL
ma10016,11707-REM-DONOTIRTO-KRETEK-BANTUL
ma10016,11708-ARD-PATALAN-JETIS-BANTUL
ma10016,11709-LIN-SRIHARJO-IMOGIRI-BANTUL
ma10016,11710-RNB-CATUHARJO-PANDAK-BANTUL
ma10016,11711-RAS-WIJIREJO-PANDAK-BANTUL
ma10016,11712-JOG-PALBAPANG-BANTUL-BANTUL
ma10016,11713-CEN-PONCOSARI-SRANDAKAN-BANTUL
ma10016,11714-GRA-IMOGIRI-IMOGIRI-BANTUL
ma10016,11715-OPS-KEBONAGUNG-IMOGIRI-BANTUL
ma10007,17001-ESH-KARANGLEWAS LOR-PURWOKERTO BARAT-BANYUMAS
ma10007,17002-KYK-PASIR KIDUL-PURWOKERTO BARAT-BANYUMAS
ma10007,17003-GUS-KOBER-PURWOKERTO BARAT-BANYUMAS
ma10007,17004-ANU-KARANGLEWAS KIDUL-KARANGLEWAS-BANYUMAS
ma10007,17005-ILH-PURWOKERTO LOR-PURWOKERTO TIMUR-BANYUMAS
ma10007,17006-FAL-PURWOKERTO LOR-PURWOKERTO TIMUR-BANYUMAS
ma10007,17007-MEL-PURWOKERTO WETAN-PURWOKERTO TIMUR-BANYUMAS
ma10007,17008-MUN-KEDUNGWULUH-PURWOKERTO BARAT-BANYUMAS
ma10007,17009-RIM-KARANGNANGKA-KEDUNGBANTENG-BANYUMAS
ma10007,17010-WAW-SOKAWERA-CILONGOK-BANYUMAS
ma10007,17011-BIM-CILONGOK-CILONGOK-BANYUMAS
ma10007,17012-PIN-KARANGLO-CILONGOK-BANYUMAS
ma10007,17013-PL -PERNASIDI-CILONGOK-BANYUMAS
ma10007,17014-LES-LESMANA-AJIBARANG-BANYUMAS
ma10007,17015-FAT-LESMANA-AJIBARANG-BANYUMAS
ma10007,17016-YAY-PANCURENDANG-AJIBARANG-BANYUMAS
ma10007,17017-GHA-AJIBARANG KULON-AJIBARANG-BANYUMAS
ma10007,17018-AA -PANDANSARI-AJIBARANG-BANYUMAS
ma10007,17019-REM-RAWALO-RAWALO-BANYUMAS
ma10007,17020-KHA-SIDAMULIH-RAWALO-BANYUMAS
ma10007,17021-I C-GAMBARSARI-KEBASEN-BANYUMAS
ma10007,17022-DIA-KALISALAK-KEBASEN-BANYUMAS
ma10007,17023-AVI-KEBASEN-KEBASEN-BANYUMAS
ma10007,17024-JAM-GAMBARSARI-KEBASEN-BANYUMAS
ma10007,17025-UNG-KALIORI-KALIBAGOR-BANYUMAS
ma10007,17026-QUE-KALIORI-KALIBAGOR-BANYUMAS
ma10007,17027-IAN-KALIORI-KALIBAGOR-BANYUMAS
ma10007,17028-HER-TIPAR KIDUL-AJIBARANG-BANYUMAS
ma10007,17029-HAN-KRAMAT-KEMBARAN-BANYUMAS
ma10007,17030-KEN-KALIORI-KALIBAGOR-BANYUMAS
ma30012,31301-MY -JATIWANGI-CIKARANG BARAT-BEKASI (CIKARANG)
ma30012,31302-3ST-KARANGASIH-CIKARANG UTARA-BEKASI (CIKARANG)
ma30012,31303-IMO-KARANGASIH-CIKARANG UTARA-BEKASI (CIKARANG)
ma30012,31304-RIZ-KARANGRAHARJA-CIKARANG UTARA-BEKASI (CIKARANG)
ma30012,31307-DEN-TELAJUNG-CIKARANG BARAT-BEKASI (CIKARANG)
ma30012,31308-KIA-TELAJUNG-CIKARANG BARAT-BEKASI (CIKARANG)
ma30012,13109-AUL-TELAJUNG-CIKARANG BARAT-BEKASI (CIKARANG)
ma30012,31310-OKY-TELAJUNG-CIKARANG BARAT-BEKASI (CIKARANG)
ma30012,31330-IND-PASIRANJI-CIKARANG PUSAT-BEKASI (CIKARANG)
ma30012,31331-RIZ-CICAU-CIKARANG PUSAT-BEKASI (CIKARANG)
ma30012,31332-RIC-CICAU-CIKARANG PUSAT-BEKASI (CIKARANG)
ma30012,31333-AND-CICAU-CIKARANG PUSAT-BEKASI (CIKARANG)
ma30012,31334-ARY-CICAU-CIKARANG PUSAT-BEKASI (CIKARANG)
ma30011,31321-JAV-TANJUNGBARU-CIKARANG TIMUR-BEKASI (CIKARANG)
ma30011,31322-DAM-SIMPANGAN-CIKARANG UTARA-BEKASI (CIKARANG)
ma30011,31323-EKA-TANJUNGBARU-CIKARANG TIMUR-BEKASI (CIKARANG)
ma80003,83007-INT-GUDANGKAHURIPAN-LEMBANG-BANDUNG BARAT (LEMBANG)
ma30012,31335-DEW-SUKAMAHI-CIKARANG PUSAT-BEKASI (CIKARANG)
ma30012,31336-NAR-SERANG-CIKARANG SELATAN-BEKASI (CIKARANG)
ma30012,31337-FIR-SUKASEJATI-CIKARANG SELATAN-BEKASI (CIKARANG)
ma30012,31338-NAB-SUKASEJATI-CIKARANG SELATAN-BEKASI (CIKARANG)
ma30012,31339-SEK-SERANG-CIKARANG SELATAN-BEKASI (CIKARANG)
ma30012,31340-ONL-SERANG-CIKARANG SELATAN-BEKASI (CIKARANG)
ma30011,31325-LAI-PASIRSARI-CIKARANG SELATAN-BEKASI (CIKARANG)
ma30011,31327-AGU-SERANG-CIKARANG SELATAN-BEKASI (CIKARANG)
ma30011,31328-FAJ-PASIRSARI-CIKARANG SELATAN-BEKASI (CIKARANG)
ma30011,31328-DEA-KARANGSARI-CIKARANG TIMUR-BEKASI (CIKARANG)
ma30011,31329-DIK-KARANGSARI-CIKARANG TIMUR-BEKASI (CIKARANG)
ma30011,31326_R1-ROD-SERANG-CIKARANG SELATAN-BEKASI (CIKARANG)
ma30012,31305_R1-GAL-SERANG-CIKARANG SELATAN-BEKASI (CIKARANG)
ma30003,33001-TOK-LEUWIMALANG-CISARUA-BOGOR (CISARUA)
ma30003,33002-TOK-CISARUA-CISARUA-BOGOR (CISARUA)
ma30003,33003-SAL-TUGU SELATAN-CISARUA-BOGOR (CISARUA)
ma30003,33004-AZZ-TUGU SELATAN-CISARUA-BOGOR (CISARUA)
ma30003,33005-LAD-CIBEUREUM-CISARUA-BOGOR (CISARUA)
ma30003,33006-TOK-CIBEUREUM-CISARUA-BOGOR (CISARUA)
ma30003,33029-ATI-CITEKO-CISARUA-BOGOR (CISARUA)
ma30003,33028-RR -CITEKO-CISARUA-BOGOR (CISARUA)
ma30003,33027-AYU-CITEKO-CISARUA-BOGOR (CISARUA)
ma30003,33026-ELL-CISARUA-CISARUA-BOGOR (CISARUA)
ma30003,33025-FTE-KOPO-CISARUA-BOGOR (CISARUA)
ma30003,33024-GAN-LEUWIMALANG-CISARUA-BOGOR (CISARUA)
ma30003,33023-HM -CILEMBER-CISARUA-BOGOR (CISARUA)
ma30003,33022-PAN-CILEMBER-CISARUA-BOGOR (CISARUA)
ma30003,33021-BOY-JOGJOGAN-CISARUA-BOGOR (CISARUA)
ma30003,33020-AND-JOGJOGAN-CISARUA-BOGOR (CISARUA)
ma30003,33019-LAT-JOGJOGAN-CISARUA-BOGOR (CISARUA)
ma30003,33018-JHO-BATULAYANG-CISARUA-BOGOR (CISARUA)
