retsku_product_id,barcode,brand,model
127404,'0050000342077572,Telkomsel,Simpati + talk time of 10000
129746,'00576737096140,Telkomsel,Voucher Telkomsel
129746,'00584297192611,Telkomsel,Voucher Telkomsel
129746,'00622983477466,Telkomsel,Voucher Telkomsel
130456,'006457028098,Tri,Voucher 100 sms/hari
130468,'014178162768,Tri,Rp. 50rb Voucher
130435,'014181311497,Tri,Rp. 10rb Voucher
129748,'014421053043,Tri,Isi Ulang
129748,'014422357595,Tri,
129748,'014425106965,Tri,
130434,'014430130172,Tri,
130434,'014430130173,Tri,
130434,'014430365798,Tri,Rp. 20rb Voucher
130434,'014431115150,Tri,Rp. 20rb Voucher
129748,'014665130359,Tri,Isi Ulang
129748,'014668165033,Tri,Isi Ulang
129748,'014668244151,Tri,Isi Ulang
130435,'014831554319,Tri,Rp. 10rb Voucher
130435,'015050444496,Tri,Rp. 10rb Voucher
129746,'0250000039939620,Telkomsel,Voucher Telkomsel
129746,'0750000007256417,Telkomsel,Voucher Telkomsel
129744,'081281173175,Simpati,Best For Smartphone
129744,'081284791093,Simpati,Best For Smartphone
129746,'0850000021659266,Telkomsel,Voucher Telkomsel
130476,'08962111431059002176,XL,Hotrod 4G
130478,'08962111432427309475,Axis,Horee
127232,'08962119130193728928,XL,Starter Card
129749,'8962119130193731995,Tri,Voucher
129749,'08962119130193733845,Tri,Voucher
129749,'8962893000121078284,Tri,Voucher
127234,'08962893000121078844,Tri,Starter Card
129749,'8962893000121161013,Tri,Voucher
129751,'0928020000882500,XL,Voucher XL
129751,'0928090000264865,XL,Voucher XL
130424,'1000051740508,Indosat,Rp. 50rb Voucher
130435,'1000099155220,Tri,Rp. 10rb Voucher
130423,'1000101353507,Indosat,Rp. 25rb Voucher
130423,'1000101353518,Indosat,Rp. 25rb Voucher
130423,'1000101353519,Indosat,Rp. 25rb Voucher
130424,'1000103643291,Indosat,Rp. 50rb Voucher
130435,'15605335486,Tri,Rp. 10rb Voucher
130471,'200071044710,Smartfren,Rp. 100rb Voucher
130470,'200095923670,Smartfren,Rp. 60rb Voucher
130470,'200095923691,Smartfren,Rp. 60rb Voucher
130470,'200095923704,Smartfren,Rp. 60rb Voucher
130474,'201501290100064356,Esia,Rp. 50rb Voucher
130474,'201501290100064358,Esia,Rp. 50rb Voucher
130474,'201501290100064371,Esia,Rp. 50rb Voucher
130474,'201501290100064373,Esia,Rp. 50rb Voucher
130461,'303612288890,Tri,Rp. 2rb Voucher
130437,'303712966841,Tri,Rp. 5rb Voucher
130437,'303719714968,Tri,Rp. 5rb Voucher
130435,'303806783421,Tri,Rp. 10rb Voucher
130434,'303901147205,Tri,Rp. 20rb Voucher
130434,'303901746539,Tri,Rp. 20rb Voucher
130456,'304000404884,Tri,Voucher 100 sms/hari
129749,'304001123140,Tri,Voucher
129748,'304100359320,Tri,Isi Ulang
130436,'304100359452,Tri,Rp. 100rb Voucher
130463,'304301553146,Tri,100 MB Voucher
130462,'304402896532,Tri,400 MB Voucher
130460,'304601266841,Tri,5 GB Voucher
130458,'304601266842,Tri,4 GB Voucher
130457,'304700728542,Tri,9 GB Voucher
130464,'305600636918,Tri,1 GB Voucher
130465,'305800686903,Tri,3 GB Voucher
130467,'305900318254,Tri,4 GB Voucher
130466,'306100054383,Tri,6 GB Voucher
129744,'350000022581472,Simpati,Best For Smartphone
130425,'5001449194557,Indosat,Rp. 100rb Voucher
130425,'5001449223921,Indosat,Rp. 100rb Voucher
130475,'550000022823051,Simpati,4G LTE
129738,'8906299010624413422,Esia,Triple Untung
129738,'8906299010624414396,Esia,Triple Untung
127401,'89620140004226037226,IM3,Cool
129742,'89620140004272271299,Mentari,Kartu Merah Putih
129742,'89620140004272271505,Mentari,Kartu Merah Putih
127402,'89620140004292974161,Mentari,3GB+
127402,'89620140004432035733,Mentari,3GB+
130477,'89620140004540750702,Mentari,Ooreedo 4G Plus
127401,'89620160001846578949,IM3,Cool
127233,'89620160001917825302,Indosat,IM3
130469,'89620921011010306068,Smartfren,4G LTE
129745,'89620961302008511269,Smartfren,Starter Card
129745,'89620971012007631178,Smartfren,Starter Card
130473,'89620971402100553314,Smartfren,3.5 G
129737,'8962111432150283400,Axis,Starter Card
129737,'8962111432150283418,Axis,Starter Card
129750,'08962116730344913740,XL,Hotrod 4G
129750,'08962116730344913799,XL,Hotrod 4G
129750,'08962119130193731995,XL,Hotrod 4G
129750,'08962119130193733645,XL,Hotrod 4G
130472,'89622868110000939838,Smartfren,Bismatel
129749,'8962893000121078284,Tri,Voucher
129749,'8962893000121161013,Tri,Voucher
129749,'8962895000152249201,Tri,Voucher
129749,'8962895000152249207,Tri,Voucher
130459,'89628990005934727473,Tri,Kartu Perdana
130459,'89628990005934727481,Tri,Kartu Perdana
