retsku_product_id,brand,model,pattern,retailer_id,retsku_category_id
129737,Axis,Starter Card,^[0]?896211143215[0-9]{7}$,71,74
130478,Axis,Horee,^[0]?896211143242[0-9]{7}$,71,74
129738,Esia,Triple Untung,^[0]?89062990106[0-9]{8}$,71,74
130474,Esia,Rp. 50rb Voucher,^[0]?2015012901[0-9]{8}$,71,74
127401,Indosat,IM3,"^[0]?896201[4,5,6]000[0-9]{10}$",71,74
130423,Indosat,Rp. 25rb Voucher,^1000(101)[0-9]{6}$,71,74
130424,Indosat,Rp. 50rb Voucher,^1000(103|051)[0-9]{6}$,71,74
130425,Indosat,Rp. 100rb Voucher,^5001449[0-9]{6}$,71,74
129744,Simpati,Best For Smartphone,^08128[0-9]{7}$,71,74
129745,Smartfren,Starter Card,^896209(6130200851|7101200763)[0-9]{4}$,71,74
130470,Smartfren,Rp. 60rb Voucher,^20009[0-9]{7}$,71,74
130471,Smartfren,Rp. 100rb Voucher,^20007[0-9]{7}$,71,74
129746,Telkomsel,Voucher Telkomsel,^00(57|58|62)[0-9]{10}$,71,74
130434,Tri,Rp. 20rb Voucher,^01443[0-9]{7}$,71,74
130435,Tri,Rp. 10rb Voucher,^[0]?1(418|448|450|483|505|560)[0-9]{7}$,71,74
130437,Tri,Rp. 5rb Voucher,^30371[0-9]{7}$,71,74
129748,Tri,Isi Ulang,"^014[4,6][2,6][0-9]{7}$",71,74
129749,Tri,Voucher,"^[0]?896289[3,5]0001[0-9]{8}$",71,74
130456,Tri,Voucher 100 sms/hari,^00(64)[0-9]{8}$,71,74
130457,Tri,9 GB Voucher,^304700728542,71,74
130459,Tri,Kartu Perdana,^[0]?8962899000593[0-9]{7}$,71,74
130460,Tri,5 GB Voucher,^304601266841,71,74
130461,Tri,Rp. 2rb Voucher,^30361[0-9]{7}$,71,74
130462,Tri,400 MB Voucher,^304402896532,71,74
130463,Tri,100 MB Voucher,^304301553146,71,74
130464,Tri,1 GB Voucher,^305600636918,71,74
130465,Tri,3 GB Voucher,^3058006[0-9]{5}$,71,74
130466,Tri,6 GB Voucher,^306100054383,71,74
130467,Tri,4 GB Voucher,^(304601266842|305900318254),71,74
130468,Tri,Rp. 50rb Voucher,^01417[0-9]{7}$,71,74
130476,XL,Hotrod 4G,^0896211(913019373|673034491|143105900)[0-9]{4}$,71,74
127232,XL,Starter Card,^08962119130193728928$,71,74
130472,Smartfren,Bismatel,^89622868110000939838,71,74
130473,Smartfren,3.5 G,^89620971402100553314,71,74
130469,Smartfren,4G LTE,^89620921011010306068,71,74
130475,Simpati,4G LTE,^550000022823051,71,74
130436,Tri,Rp. 100rb Voucher,^304100359452,71,74
